agg_method: rfa
num_mali: 5
epochs: 100
inner_epochs: 10
device_id: 2
inner_epochs: 10
ratio_training: 0.6
ratio_val: 0.1
ratio_testing: 0.2
Experiment 1: a=0.7541666666666667, r=0.07200002670288086, v=0.41308334668477376
Experiment 2: a=0.7708333333333334, r=0.17599999904632568, v=0.4734166661898295
Experiment 3: a=0.7833333333333333, r=0.1600000262260437, v=0.4716666797796885
Experiment 4: a=0.7666666666666667, r=0.18400001525878906, v=0.4753333409627279
Experiment 5: a=0.7666666666666667, r=0.1520000696182251, v=0.4593333681424459
Experiment 6: a=0.7625, r=0.11200010776519775, v=0.43725005388259885
Experiment 7: a=0.7875, r=0.1600000262260437, v=0.47375001311302184
Experiment 8: a=0.7541666666666667, r=0.10400009155273438, v=0.4290833791097005
Experiment 9: a=0.7541666666666667, r=0.13600003719329834, v=0.4450833519299825
Experiment 10: a=0.7625, r=0.11200010776519775, v=0.43725005388259885
Experiment 11: a=0.7583333333333333, r=0.08799999952316284, v=0.4231666664282481
Experiment 12: a=0.7749999999999999, r=0.18400001525878906, v=0.4795000076293945
Experiment 13: a=0.7666666666666667, r=0.09600001573562622, v=0.43133334120114647
Experiment 14: a=0.7666666666666666, r=0.13600003719329834, v=0.4513333519299825
Experiment 15: a=0.7749999999999999, r=0.13600003719329834, v=0.4555000185966491
Experiment 16: a=0.7625, r=0.13599997758865356, v=0.44924998879432676
Experiment 17: a=0.7583333333333333, r=0.09600001573562622, v=0.42716667453447976
Experiment 18: a=0.7583333333333333, r=0.08000004291534424, v=0.41916668812433877
Experiment 19: a=0.7708333333333333, r=0.12800008058547974, v=0.4494167069594065
Experiment 20: a=0.7833333333333333, r=0.12800008058547974, v=0.45566670695940653
Top 5 v: [0.4795000076293945, 0.4753333409627279, 0.47375001311302184, 0.4734166661898295, 0.4716666797796885]
Average of top 5 v: 0.4747333415349325
